|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
366|https://www.instagram.com/p/CaH3ZPKMHZ0/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/274252994_553863582269460_2596493087865187330_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=A_y4cvduKj4AX9d0FP4&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3NjQzMTMxODE3Njc3ODgzNQ%3D%3D.2-ccb7-5&oh=00_AfBXUgOZHxnAxGUzKk2VqGrkPFGDP3Ck71yR2uGcifJoaQ&oe=6386F537&_nc_sid=30a2ef||['¿Sabías qué? 🤔 El síndrome de Asperger es un trastorno del neurodesarrollo que afecta, especialmente, a la comunicación e interacción social. Este trastorno se incluye dentro de los Trastornos del Espectro del Autismo.\nLee más en el link de nuestra bio.\n\n#Autismo #Asperger']|Me_gusta|32|"[""Photo by Famisanar EPS on February 18, 2022. May be an image of text that says 'Famisanar EPS Siéntete bien ¿Conoces el Síndrome de Asperger?'.""]"|2022-02-18 15:00:27+00:00
367|https://www.instagram.com/p/CaFnOlsM8Z4/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/274254698_475551770722689_8225895197257087107_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=05c_WEzvkMUAX94RTEn&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3NTc5NzI2Njc5MjkwNjMyNQ%3D%3D.2-ccb7-5&oh=00_AfB4IdqXSnanAMikZLfnEp5vIWRqhF9A2aID9uIs6whJtg&oe=63860D44&_nc_sid=30a2ef||['¿Por qué la piel de mi bebé sufre de irritación o quemaduras? 🤔\nSe trata de una afección muy común. Esto se debe a que su piel tiene unas características especiales que la hacen más susceptible a sufrir problemas. Por ello protege a tu bebé y sigue los pasos para prevenir quemaduras.👶🏼']|Me_gusta|17|"[""Photo by Famisanar EPS on February 17, 2022. May be an image of text that says 'Famisanar EPS Siéntete bien ¿Quemaduras con pañal? Protege la piel Amoroso y delicado, de tu bebé 5 pasos para elevar su salud a lo más alto. pp'.""]"|2022-02-17 18:00:42+00:00
368|https://www.instagram.com/p/CaC0pcIMZq7/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/274199642_679028023453006_7403134477714761513_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Yp_nmv9LA30AX-fUav7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3NTAxMTg2NjUzMzAxMDEwNw%3D%3D.2-ccb7-5&oh=00_AfAXrDXUAYKSMzvjWFiKtT1uOLHe3XOcttRSopqoiodt-Q&oe=6385F360&_nc_sid=30a2ef||['Mantén a salvo tu vida y la de tu bebé 🤰\nSi estás embarazada, es importante que identifiques cuáles son los signos de alarma que te alertan que algo no anda bien para consultar inmediatamente al servicio de salud más cercano.\nPor esto:\n👉🏻Asiste a tus exámenes y controles de rutina.\n👉🏻Acude a urgencias.\n👉🏻Asiste a tu médico de confianza o comunícate con tu IPS asignada.']|Me_gusta|28|"[""Photo by Famisanar EPS on February 16, 2022. May be an image of text that says 'Famisanar EPS ¡Bebé y madre a salvo! ¿Presentas sangrado creciones diferentes flujo vaginal? Asiste tus exámenes de rutina y controles prenatales. 1 ¿Sientes disminución en movimientosd de tu bebé por más horas? 2 Acude urgencias confía tu bienestar en manos expertas. ¿Presentas contracciones alta intensidad, frecuentes de 3 duraderas? Asiste tu médico de confianza comunicate tu IPS asignada.'.""]"|2022-02-16 16:00:14+00:00
369|https://www.instagram.com/p/CaBNrzwheRa/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/274081210_373389060831103_4101855515176971774_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=8bk4SkMWIYoAX-z8ca0&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3NDU1OTAyNjQ5Mzg2MTQ1Ng%3D%3D.2-ccb7-5&oh=00_AfAVWhirFMSbu4_dgWhxDwg0MlZ1Pp9qNorqad9lQ0K2cA&oe=63871162&_nc_sid=30a2ef||['¡Por qué tu bienestar es nuestra prioridad! 🤗\nEn esta oportunidad, te contamos sobre la importancia de la vacunación para que, de acuerdo con la edad, tú y toda la familia cumplan con sus vacunas.\n\n#SiénteteBien #Famisanar #Vacunación']|Me_gusta|27|"[""Photo by Famisanar EPS on February 15, 2022. May be an image of text that says 'Famisanar EPS Entre EXPERTOS del bienestar Hablemos de salud con Karol Hernández 1月'.""]"|2022-02-16 01:00:32+00:00
370|https://www.instagram.com/p/CZ9ukF4rPoT/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/273980061_125914823298467_1368727839874673030_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Aj8jZwmnUlIAX8_Gl_Y&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3MzU3NzczMDE0NDE0MjgxNQ%3D%3D.2-ccb7-5&oh=00_AfBDyTAoVc09fdct78ul9XRuwdY-kj6HCDAvjYs3PlD3Ew&oe=6385A23F&_nc_sid=30a2ef||['¡Motivemos a nuestros niños!\nSeamos un apoyo para nuestros pequeños a la hora de superar la dificultad del cáncer infantil, ayudemos a que su actitud sea positiva frente a esta situación.\nEntérate más en el link de nuestra bio.\n\n#Cancer #SiénteteBien']|Me_gusta|23|"[""Photo by Famisanar EPS on February 14, 2022. May be an image of text that says 'Famisanar EPS Siéntete bien Motivar a un niño con câncer transforma vidas! Te contamos cómo hacerlo. 一'.""]"|2022-02-14 16:30:53+00:00
371|https://www.instagram.com/p/CZ9Z7ZVszMh/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/273803838_630529384876136_1467528835722965711_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=WRLURxYRof0AX82UkCe&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3MzQ4Njk3Mzg0NDg1NzkyNg%3D%3D.2-ccb7-5&oh=00_AfDio57CUCalkCWLZs3ZoNWrVY9Wt-kK5KxXOIzOo6DEzg&oe=63868163&_nc_sid=30a2ef||['Te presentamos las nuevas Oficinas de Experiencia al Afiliado en Bogotá. Un espacio creado para ti en donde podrás resolver cada una de tus necesidades.\n¡Te esperamos en el Centro Comercial El Edén y Centro Comercial Paseo Villa del Río! 👐']|Me_gusta|63|"[""Photo by Famisanar EPS on February 14, 2022. May be an image of text that says 'Famisanar EPS ¡Crecemos en Bogotá para darte mayor bienestar! Nueva oficina de experiencia al afiliado Famisa Encuéntranos en el C.C. El Edén Dirección 5 Av. Boyacá AV. Carrera 72 12B 18, @ local 2-084 Etapa I piso 2, C.C. C.C.ElEdén.'.""]"|2022-02-14 13:30:33+00:00
372|https://www.instagram.com/p/CZ6_eiNlUWB/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/273797436_706116770758467_2213225131867934280_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=RybaOdc_4vQAX9RT7Vf&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3MjgwNzY5NTg0OTU3MTcxMw%3D%3D.2-ccb7-5&oh=00_AfB-er8bie126MD-WOpC19eON-04shB82GT0TaYvUcQf-A&oe=63867C39&_nc_sid=30a2ef||['¡La vacuna del COVID-19 es para todos! ☺️\nLa decisión de vacunarte hace grandes cambios, por ello no bajemos la guardia.\nInfórmate más en el link de nuestra bio.\n\n#Vacunación #Covid']|Me_gusta|31|"[""Photo by Famisanar EPS on February 13, 2022. May be an image of text that says 'Famisanar PS ¿Ya te vacunaste contra el COVID-19? La población objeto a vacunar de acuerdo a lo autorizado por el ministerio de salud y protección social sus etapas para dosis de refuerzo. Niños, niñas de 3 11 años para primera segunda dosis ） Niños, niñas adolescentes de 12 17 años para segunda dosis Adultos mayores de 18 años de edad primera, segunda dosis de refuerzo 1) Gestantes Población migrante Dosis de refuerzo (tercera dosis) para todos los mayores de 18 años que tengan mínimo 4 meses de la segunda dosis.'.""]"|2022-02-13 15:00:57+00:00
373|https://www.instagram.com/p/CZ4apbglI_v/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/273894187_694029855094635_5890613182658581770_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=I4ika3hKda8AX_ecRlg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3MjA4Mjc2Njg5MjAxMTUwMw%3D%3D.2-ccb7-5&oh=00_AfBbW0mRcprAiaH_meXEzgQOdlEsg72lWNrNehDPYMtpNQ&oe=638643C0&_nc_sid=30a2ef||['¡Cuidemos a nuestros niños! 😀\nProtege a tus hijos de las enfermedades contagiosas completando el esquema de vacunación y dile adiós a la rubéola y el sarampión 💉\nConoce más en el link de nuestra bio.\n\n#Sarampión #Rubéola']|Me_gusta|22|"[""Photo by Famisanar EPS on February 12, 2022. May be an image of text that says 'Famisanar EPS Si del Sarampión Rubéola los quieres cuidar, una dosis adicional les debes aplicar! Si tus hijos nacieron entre el 01-01-2010y el 31-12-2019, puedes protegerlos de estas enfermedades contagiosas que pueden ser mortales, completando su esquema de vacunación. iEs gratis! Consulta los puntos y horarios en famisanar.com.co/vacunacion'.""]"|2022-02-12 15:00:38+00:00
374|https://www.instagram.com/p/CZ2KZ8Zhaak/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/273662952_530476211532220_3024076878343486068_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=3nhm2WJcKrgAX-ANFAv&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3MTQ0ODM3OTMxNzE0NjA4Nw%3D%3D.2-ccb7-5&oh=00_AfC2k4mFApxhjUBOZmkWM2kuUTN2UKSr7JsMCTyi2YICKw&oe=638628E9&_nc_sid=30a2ef||['¿Sabes que es una enfermedad crónica? 🤔\nSon enfermedades no transmisibles de larga duración con una progresión generalmente lenta. Por ello, acompañemos y apoyemos a quienes las padecen para así darles motivación y una luz de esperanza.\n\nInfórmate más sobre este tema en el link de nuestra bio.']|Me_gusta|43|"[""Photo by Famisanar EPS on February 11, 2022. May be an image of text that says 'Famisanar EPS ¡Un desafío! Cómo vivir con enfermedades crónicas Es fundamental cuidar desde lo físico hasta lo mental para aumentar la calidad de vida'.""]"|2022-02-11 18:00:14+00:00
375|https://www.instagram.com/p/CZzlsSkszGy/|eps_famisanar|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/273627555_3311223842438927_7070440498028634986_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=psKPOkloWFIAX-o66rI&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3MDcyMzk2NzA4Mzk1MDUxNA%3D%3D.2-ccb7-5&oh=00_AfDvlQR6OuNo03BZWhX_fdC147TtY2N-oreu4E2nA9LCmw&oe=6385FD72&_nc_sid=30a2ef||['¿La vacuna Comirnaty es la misma Pfizer? 🤔\nSí, todo lo relacionado con la vacuna sigue siendo igual, incluyendo sus ingredientes y formulaciones. Comirnaty es únicamente su nombre comercial.\nLee más en el link de nuestra bio.\n\n#SiénteteBien #Comirnaty #Pfizer']|Me_gusta|43|"[""Photo by Famisanar EPS on February 10, 2022. May be an image of text that says 'Famisanar EPS ८ Sabías que la vacuna Pfizer es la misma Comirnaty Este es el nombre del registro de esta farmacéutica.'.""]"|2022-02-10 18:00:57+00:00
