|p_url|target|comment_author|comment
44|https://www.instagram.com/p/ChuT8-UBZSY/|emermedica_oficial|pia_zuram|['Buenos días, podrían decirme por favor sí Uds tienen servicio de enfermería o acompañamiento? Gracias 😊']
45|https://www.instagram.com/p/ChuT8-UBZSY/|emermedica_oficial|encasaterapiasysalud|['👏👏👏']
46|https://www.instagram.com/p/Chmlg5SlPW2/|emermedica_oficial|ppalaciosm|['Cientos… necesite uno para mi papá pasaron mas de 12 horas y varias llamadas a servicio al cliente para que llegara…']
47|https://www.instagram.com/p/ChcSUu3sz2E/|emermedica_oficial|carlosamamerica|['Con cuáles especialista']
48|https://www.instagram.com/p/ChcSUu3sz2E/|emermedica_oficial|carlosamamerica|['Días como amanece']
57|https://www.instagram.com/p/CgemKz9sROt/|emermedica_oficial|danielneirap|['❤️🙌']
58|https://www.instagram.com/p/CgRuJBUM_AB/|emermedica_oficial|mauricioparedesgomez|['Muy tristes los servicios de EMERMEDICA en Bucaramanga, los médicos NO trasladan pacientes a una clínica porque dicho por ellos mismos SE ENCHICHARRONAN, ese es el servicio que prestan.\nUna paciente con dolor crónico, de 78 años nunca la quisieron trasladar, según ellos no la recibirían, una paciente de difícil traslado por nuestros propios medios, por su misma condición, sólo hasta que por una orden médica sugieren dicha hospitalización EMERMEDICA decide trasladar, pero estamos hablando de meses, de venir en varias oportunidades a ver al paciente y con solo camuflar el dolor con algún medicamento, esa era toda la atención, nunca fueron más allá, nunca intentaron llevar una paciente a un hospital y que solucionaran el tema de otra manera.\nFinalmente un tumor que presionaba la medula espinal era la causa del dolor, para lo que Emermedica nunca fue una urgencia, aún cuando se les mostraban diferentes exámenes que se habían practicado de manera particular.\nPero este es solo un reflejo más de nuestro pobre sistema de salud, donde los médicos tienen la última palabra, un sistema de salud donde está incluido EMERMEDICA que es poco humano, poco cercano, donde si el medico está iniciando turno no se enchicharrona, y si está terminando turno menos.']
59|https://www.instagram.com/p/CgPJZLasDLu/|emermedica_oficial|frankcaitacoronado|['❤️❤️❤️']
60|https://www.instagram.com/p/CgPJZLasDLu/|emermedica_oficial|danielneirap|['Excelente mensaje!!!']
61|https://www.instagram.com/p/Cfw6uN0uznA/|emermedica_oficial|mariah_mein|['😂send it @jst_laugh_']
62|https://www.instagram.com/p/CfMnLiPFYLx/|emermedica_oficial|danielneirap|['Muy buen mensaje!']
63|https://www.instagram.com/p/Ce1wCFYJlnj/|emermedica_oficial|francynova|['@haroldballesterosm 😂😂']
64|https://www.instagram.com/p/Ce1wCFYJlnj/|emermedica_oficial|danquesad|['Jajajajaajaha']
65|https://www.instagram.com/p/Ceyt6eaMvqS/|emermedica_oficial|lorencitavp|['Gracias por hacer a sus afiliados esperar 7.5 horas para una consulta domiciliaria 👏👏👏👏👏👏👏 el mejor servicio del pais']
66|https://www.instagram.com/p/CehMa53Pdgp/|emermedica_oficial|zandrayepes|['😂😂😂']
67|https://www.instagram.com/p/CehMa53Pdgp/|emermedica_oficial|marga_evey|['😂send it @jst_laugh_']
73|https://www.instagram.com/p/CdMPHx0rLaV/|emermedica_oficial|galaumajo|['Exijo una explicación y la devolución de mi dinero inmediata mente']
74|https://www.instagram.com/p/CdMPHx0rLaV/|emermedica_oficial|galaumajo|['Hola, hace ya cuatro meses me retiré de Emermedica, hubo varias situaciones por parte de ustedes que no me gustaron y decidí que no eran las perdonas que necesitaba para atender a mi padre de 89 años de edad. Me afilié con otra entidad prestadora de estos servicios . Hoy estoy viendo, después de varios meses de retirarme, que ustedes están debitando de mi cuenta nueva mente la mensualidad!!! Me siento atracada por ustedes y me veo en la penosa necesidad de denunciar este atropello!! Si yo hablo por horas con un funcionario de ustedes manifestando mi deseo de no continuar con su servicio y me da un código y me dice que el siguiente mes será descontado y luego ya queda cancelado pero ustedes continúan devengando mi plata!!! No sean abusivos cope favor! A donde más puedo acudir por Dios!!!']
75|https://www.instagram.com/p/CdMPHx0rLaV/|emermedica_oficial|jack_jomedy|['😂send it @jst_laugh_']
76|https://www.instagram.com/p/CdI7oJPs8aH/|emermedica_oficial|victoriacarolina.jaimesnaranjo|['Aún tienen promociones?']
79|https://www.instagram.com/p/CciSp6KLxwU/|emermedica_oficial|anglikita88|['👏👏Maravilloso👏👏los mejores del mercado! #emermedica']
81|https://www.instagram.com/p/Cbu6p41PR4z/|emermedica_oficial|mmora922|['Pésimo servicio de entrega de resultados de laboratorio, un resultado que debe ser de un día para otro lleva 10 días sin ser entregado y nadie responde.']
82|https://www.instagram.com/p/Cbu6p41PR4z/|emermedica_oficial|sonatatapabocasn95|['Pésimo servicio']
83|https://www.instagram.com/p/Cbu6p41PR4z/|emermedica_oficial|carix5|['El peor servicio de medicina domiciliaria. Nunca atienden en Bogotá llegan 2 dias después asi el servicio tenga prioridad y sea la salud de niños pequeños. No lo recomiendo para nada. Pésimo siempre colapsado.']
84|https://www.instagram.com/p/Cbkgobbte12/|emermedica_oficial|frankcaitacoronado|['¡Quien se cuida es quien lo goza! ❤️']
85|https://www.instagram.com/p/CbiCq_DFsVc/|emermedica_oficial|mafequila|['😂😂😂😂']
86|https://www.instagram.com/p/CbiCq_DFsVc/|emermedica_oficial|gonzalezahixa|['😮😮😮']
87|https://www.instagram.com/p/CbiCq_DFsVc/|emermedica_oficial|ednnaduarte|['😮😮😢']
88|https://www.instagram.com/p/CbiCq_DFsVc/|emermedica_oficial|mariauxigomez|['Ja ja ja']
89|https://www.instagram.com/p/CbiCq_DFsVc/|emermedica_oficial|goercavi|['😂😂😂😂']
90|https://www.instagram.com/p/CbiCq_DFsVc/|emermedica_oficial|frankcaitacoronado|['😂😂😂😂']
91|https://www.instagram.com/p/CbgKgoIl5VP/|emermedica_oficial|luzasenm|['Lindo póster. 👏👏👏']
92|https://www.instagram.com/p/CbfvHugJuTC/|emermedica_oficial|anglikita88|['👏👏👏']
94|https://www.instagram.com/p/Ca-FSB-rORE/|emermedica_oficial|_.moonlight._311|['El peor servicio']
95|https://www.instagram.com/p/Ca-FSB-rORE/|emermedica_oficial|leidymilenaromero|['Pesimo... Recetan medicinas sin examenes solo de oido por llamada, es como ir a la droguería.']
96|https://www.instagram.com/p/Ca-FSB-rORE/|emermedica_oficial|leidysvillate|['Así de fácil ! Todo con ustedes es una PESADILLA. ¿Cuando piensan responder mis quejas sobre el uso inadecuado de mis datos personales, intento de descuento después de cancelar el contrato ? Lo instauré el 02/12/2021 y me respondieron el 11/02/2022 aduciendo que no había enviado adjuntos, ese mismo día los anexé NUEVAMENTE y a la fecha no dan razón de nada !']
97|https://www.instagram.com/p/Cahg-K1sFyt/|emermedica_oficial|carolina1311c|['MAL SERVICIO 😡😡😡😡😡...afiliada desde hace 4 años pagando todos los meses puntual y la única vez cuando se necesita el servicio no lo prestan con medico domiciliario presencial porque la excusa sigue siendo el Covid (Todo el mundo en las calles sin restricciones y siguen con esta excusa).o que los síntomas de un niño de 6 años con fiebre, vomito y diarrea no es una urgencia....NO SE AFILIEN.']
98|https://www.instagram.com/p/Cahg-K1sFyt/|emermedica_oficial|_.moonlight._311|['No se afilien. Sale más rápido ir a la EPS.']
99|https://www.instagram.com/p/Cahg-K1sFyt/|emermedica_oficial|luzolympe12334|['Buen día, me gustaría por favor tener más información sobre esta promoción. Gracias']
100|https://www.instagram.com/p/CaUyyLwsMPJ/|emermedica_oficial|carlosmario.tigre|['⚠️⚠️Revisen mis mensajes ⚠️⚠️']
101|https://www.instagram.com/p/CaUjqOAMKuM/|emermedica_oficial|alejandram.rojass|['Contesten las líneas que tienen disponibles para nosotros los afiliados llevo 2 días intentando que vengan a mi domicilio para un servicio y nada que tengo respuesta... Me dejan esperando en la línea y además el sonido de espera es tan desagradable parece como si estuvieran podando el prado... 😏🤦🏻\u200d♀️@emermedica_oficial qué más debo hacer para recibir el servicio que venían prestando???']
105|https://www.instagram.com/p/CYrKxrPs4l-/|emermedica_oficial|miliecaicedo|['😂😂😂😂😂😂😂😂😂😂']
106|https://www.instagram.com/p/CYrKxrPs4l-/|emermedica_oficial|odontologa_1997|['Le diría: tranquilo doctor, que acá le guardé la mitad 🤣🤣']
108|https://www.instagram.com/p/CYXPxgtLn9W/|emermedica_oficial|juliandres7|['Gracias Emermédica, que este 2022 nos sigan brindando un mejor servicio, mi tranquilidad con mis papás son ustedes.']
109|https://www.instagram.com/p/CYUQwtavUUM/|emermedica_oficial|carlosamamerica|['Llame a que me dieran información sobre la factura y nunca me dieron información le dan un WhatsApp que nunca le contesta por favor quiero más unikitty llamando para que me den información y nunca me han información']
110|https://www.instagram.com/p/CYUQwtavUUM/|emermedica_oficial|carlosamamerica|['Buenos días yo estoy afiliado el problema que tengo con usted es que la línea de Cali no sirve']
111|https://www.instagram.com/p/CYUQwtavUUM/|emermedica_oficial|laurazamu|['¿Cómo me puedo desafiliar? No contestan']
112|https://www.instagram.com/p/CYUQwtavUUM/|emermedica_oficial|alejandram.rojass|['Perooo por lo menos contesten las líneas para atención en casa 😏🤦🏻\u200d♀️ llevo 2 días pidiendo el servicio y la respuesta es cero me dejan esperando en línea para variar con un sonido muy desagradable... Tenaz @emermedica_oficial Donde debo llamar para cancelar el servicio somos un grupo familiar afiliados y nos queremos retirar por la falta de seriedad con sus pacientes y clientes...']
113|https://www.instagram.com/p/CYUQwtavUUM/|emermedica_oficial|leidysvillate|['Cordial saludo señores Emermedica sigo esperando respuesta a mi solicitud enviada el pasado 03/12/2021 ya que están utilizando mis datos de manera inadecuada al enviar solicitudes de descuento automático a mi entidad bancaria después de haber cancelado el contrato suscrito con ustedes desde Octubre 2021. Están cometiendo un abuso muy grave e incumpliendo la a ley de habeas data con el uso de mis datos personales sin autorización @emermedica_oficial']
114|https://www.instagram.com/p/CYUQwtavUUM/|emermedica_oficial|carrenoandy|['Esa línea nacional NO sirve! De nada sirve tener un servicio si no se puede comunicar']
116|https://www.instagram.com/p/CX4vf3OBBw8/|emermedica_oficial|luzasenm|['Feliz navidad a todos en Emermédica incluido mi hijo. Muchas bendiciones']
118|https://www.instagram.com/p/CXwDXfkLK-i/|emermedica_oficial|la.mariamarilla|['Estoy esperando que vengan a hacerme una prueba PCR y no han llegado. Llamo a pedir información y me dicen que no pueden darme respuesta porque no tienen contacto directo con la linea covid de emermédica. ¿Con quien hable entonces? ¿Quien me da respuesta? La necesito de sentido urgente.']
119|https://www.instagram.com/p/CXl4qNTsE8X/|emermedica_oficial|mariapauamaya|['Me parece una falta de respeto este servicio. Con mi familia pagamos una mensualidad alta y cuando necesitamos prueba covid nos cobran un montón de dinero. Horrible esto.']
120|https://www.instagram.com/p/CXl4qNTsE8X/|emermedica_oficial|luzasenm|['Feliz navidad para todos en Enermédica, gente dedicada y trabajadora, esforzada por tantos servicios al día. Gracias por sus sacrificios.']
121|https://www.instagram.com/p/CXeS-COv9lJ/|emermedica_oficial|johannita1209|['Solo colombianos ?? O aceptan extranjeros a la afiliación?']
123|https://www.instagram.com/p/CXRbA6HodFz/|emermedica_oficial|laurazamu|['¿Cómo me puedo desafiliar? No contestan']
124|https://www.instagram.com/p/CXRbA6HodFz/|emermedica_oficial|maria_c_gg|['Que decepción de servicio!! Tengo afiliado a mi papá, de 88 años con preexistencia cardiaca, llevo años pagando el servicio y cuando lo necesito porque mi papá presentaba dolor intenso en el brazo izquierdo simplemente no aparecieron, eso es incumplimiento a la promesa de servicio!']
126|https://www.instagram.com/p/CXMDsPvIJHy/|emermedica_oficial|ana.e.degu|['😮😮mm']
127|https://www.instagram.com/p/CXMDsPvIJHy/|emermedica_oficial|maria_c_gg|['Pésimo servicio,\nLlevo años pagando la afiliación y cuando los necesite simplemente no aparecieron incumpliendo con su promesa de servicio! El servicio de atención medica de emergencia no es un juego pero Emermedica se lo toma a la ligera!']
128|https://www.instagram.com/p/CXMDsPvIJHy/|emermedica_oficial|lalindo1|['Excelente servicio 👍 @emermedica_oficial']
