|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
3106|https://www.instagram.com/p/CMlPlL0M7Ki/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/161713331_534636351268374_3654030330020534471_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=dhF1yamN4ioAX9e-Xc0&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUzMjQ5ODg4MDA0NTY3NjYxNg%3D%3D.2-ccb7-5&oh=00_AfCyww7KliFPpTfkOBMmNkBPCq_SlPdv6mgO5Bg8u60s0w&oe=6403AB1B&_nc_sid=6136e7||['La nueva ubicación del Centro Médico Colmédica Cedritos, nos permite brindarte mayor comodidad y más servicios. Estamos en la Cl 140 11-45, piso 9, Edificio HHC. Consulta el portafolio de servicios en la App Colmédica.\n.\n.\n#centrosmedicos #colmedica #colmedicaaquicontigo']|Me_gusta|197|['Photo by Colmédica on March 18, 2021.']|2021-03-19 01:30:15+00:00
3107|https://www.instagram.com/p/CMkpzjmFXqH/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/161713330_3770312866392602_2385122588687260488_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=rC11chS2HbUAX_R6Ejz&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUzMjMzMjc1MzMwOTIzNTg0Nw%3D%3D.2-ccb7-5&oh=00_AfC2OOdsP1XqKRWUt__D5i8I4YU0bXspRUiN8t2g4q7LDg&oe=640391C0&_nc_sid=6136e7||['Patricia Camargo, audióloga del Centro Médico Colmédica Chapinero, está lista para ponerle el hombro al país en esta segunda etapa de vacunación para el talento humano de la salud. Por ti, por tu familia y por Colombia. #YoMeVacuno']|Me_gusta|35|['Photo by Colmédica on March 18, 2021.']|2021-03-18 20:00:10+00:00
3108|https://www.instagram.com/p/CMkE9DDJGop/|colmedicamedicinaprepagada|video||blob:https://www.instagram.com/8c7feb01-89f5-45bf-916a-e51aeee91d9d|['.\n\n¿Vacunarse da inmunidad completa contra el COVID-19? Conoce la respuesta a esta y otras preguntas sobre la primera etapa del Plan Nacional de Vacunación, en el nuevo capítulo de Vacuna en Cápsulas. Clic al video. #AquíContigo #YoMeVacuno']|Reproducciones|295|['']|2021-03-18 14:58:48+00:00
3109|https://www.instagram.com/p/CMigeLAlmYn/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/162214375_3723199877801048_5607310991943806513_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=uo6NowN7pRoAX9Ehkud&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUzMTcyODc1MTQyOTMxNDA4Nw%3D%3D.2-ccb7-5&oh=00_AfDFqeAfYaP5LPePDh80BWHrm4HGgUgN7xUArLdKw7gbJQ&oe=64036427&_nc_sid=6136e7||['¡Felicitaciones a Juan Mauricio! Gracias por participar con Colmédica, Huawei y María José Martínez. Te esperamos en una próxima ocasión para seguir llenando la cocina de deliciosos sabores juntos.\n.\n.\n#aquicontigo #colmedica']|Me_gusta|43|['Photo by Colmédica on March 17, 2021.']|2021-03-18 00:00:07+00:00
3110|https://www.instagram.com/p/CMgJcthrY_P/|colmedicamedicinaprepagada|video||blob:https://www.instagram.com/8dab4595-8790-4193-836e-a334936f4580|['Todos somos parte del plan por la vida que se lleva a cabo alrededor del mundo, en donde la inmunidad de rebaño es fundamental para combatir la pandemia generada por el COVID-19.\n#EnVideo nuestro Gerente de Salud, el doctor David Velásquez, explica su importancia.\n#YoMeVacuno']|Reproducciones|435|['']|2021-03-17 02:00:41+00:00
3111|https://www.instagram.com/p/CMfJ1FynImb/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/160458833_425956435142371_3656824416007955953_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=qiEXrO0PISAAX_HFIZv&tn=LgdxYoM2i6ygn41M&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUzMDc4NDc0Mzc1NzAxNjQ5Mw%3D%3D.2-ccb7-5&oh=00_AfCQy-zIrHD7RWiNlCx_qafHnknfXLato0LlekB2sx3x4g&oe=64035733&_nc_sid=6136e7||['¿Utilizas tapabocas de tela? Te contamos algunas recomendaciones importantes que debes tener en cuenta para estar protegido contra el COVID-19.\n¡Desliza! #ColmédicaAquíContigo']|Me_gusta|44|['Photo by Colmédica on March 16, 2021.']|2021-03-16 16:44:33+00:00
3112|https://www.instagram.com/p/CMddvzPs9KB/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/160804981_184059679954302_6081259925340798213_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Q_QtZXmVvkcAX_lVhku&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUzMDMwOTM5Mzg0MDU5MTQ4OQ%3D%3D.2-ccb7-5&oh=00_AfDdKJDPXtJlO-gn0gDxkVJTZXbHs2RA3CO4PA1rCy78cg&oe=64036938&_nc_sid=6136e7||['Antes de vacunarte contra COVID-19 debes asegurarte de no haber recibido algún otro tipo de vacuna en los últimos 14 días. De ser así, deberás reprogramar tu cita de vacunación.\n.\n.\n#yomevacuno #colmedicaaquicontigo']|Me_gusta|54|['Photo by Colmédica on March 15, 2021.']|2021-03-16 01:00:06+00:00
3113|https://www.instagram.com/p/CMa4-W3l8Og/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/160330836_149384290390896_8625016074021527518_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=3LwpfwyNBfgAX_XPscv&tn=LgdxYoM2i6ygn41M&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUyOTU4NDcxNjQ4OTE0NzI5Ng%3D%3D.2-ccb7-5&oh=00_AfBAuFQ-uF524jPzY4epvJ6VvADXs1UJ0E0mit35rjfrqQ&oe=64038F1D&_nc_sid=6136e7||['Vacunarse es fundamental para avanzar en la lucha contra el COVID-19.\nAcá te explicamos las razones.\n\n#YoMeVacuno']|Me_gusta|52|['Photo by Colmédica on March 14, 2021.']|2021-03-15 01:00:18+00:00
3114|https://www.instagram.com/p/CMa1io9qpb1/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/161016566_239887427778025_4699265769002816214_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=UAHRzriGhtoAX_42ent&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUyOTU2OTYwMTg5NjQzMTEzNQ%3D%3D.2-ccb7-5&oh=00_AfBQjTZKq_-D3a1hxiL7O1AIWllKEt5O3N02GNAsvR5exw&oe=6403C60A&_nc_sid=6136e7||['Gracias a ti pudimos realizar esta Brigada Médica y prestar servicio oportuno a la población de Cumaribo, Vichada. Hoy nos despedimos esperando regresar para seguir ayudando que el sistema de salud funcione mejor para todos.\n\n#colmedicaaquicontigo']|Me_gusta|102|['Photo by Colmédica on March 14, 2021.']|2021-03-15 00:30:18+00:00
3115|https://www.instagram.com/p/CMZqDgOFh-t/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/160300349_876803023172263_7101848774996236960_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=2-Xqq88dqx0AX8cHNV8&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUyOTIzNzYyMjI1NTQ1NTkyOA%3D%3D.2-ccb7-5&oh=00_AfDOynDmyzgTkRXnOWAZMDnIFaO16rLQRCSfPFgXYEa76g&oe=64026AC9&_nc_sid=6136e7||"['El Huawei Y7a aún puede ser tuyo, ¡participa! Revive el live de ayer con María José Martínez, prepara un delicioso tiramisú y tómale la mejor foto que puedas, coméntala en el post de nuestro Facebook que dice ""Publica aquí la foto de tu platillo y gana un Huawei Y7a "" y pídele a tus amigos que reaccionen al comentario. Tienes hasta hoy a las 11:59 p.m. para ser el comentario con más reacciones, ¡te esperamos!\n.\n.\n#colmedicaaquicontigo']"|Me_gusta|40|['Photo by Colmédica on March 14, 2021.']|2021-03-14 13:30:42+00:00
3116|https://www.instagram.com/p/CMYCrNhJLP4/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/159945331_438841977176865_5529182414042393626_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=v73UFaVmvxkAX-PLdRT&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUyODc4Mjk1MDQxNjY1ODA0Ng%3D%3D.2-ccb7-5&oh=00_AfBXjCFiDE_K7gNbSQZF1DXfIBrpKOnvom6CLr8eL6CH9g&oe=64034D86&_nc_sid=6136e7||['Hoy, Anahilda y Yudy nos cuentan sus historias en el segundo día de nuestra brigada médica en alianza con la @patrullaaereacivilcolombia']|Me_gusta|70|['Photo by Colmédica on March 13, 2021.']|2021-03-13 22:27:21+00:00
3117|https://www.instagram.com/p/CMX1uu_pgNL/|colmedicamedicinaprepagada|video||blob:https://www.instagram.com/8b85ac8f-87fd-4153-af2e-a3d019f861f0|['.\n\n#EnVideo nuestro Gerente de Salud, el doctor David Velásquez, explica por qué son importantes las etapas y las poblaciones priorizadas.']|Reproducciones|437|['']|2021-03-13 20:34:55+00:00
3118|https://www.instagram.com/p/CMV2VPuKLEI/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/158992756_438913017319551_5664718195133894616_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Cqbwy_Ra8p0AX8uQBSq&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUyODE2NTcyMDMzOTU1ODY2NA%3D%3D.2-ccb7-5&oh=00_AfCjKaxrghhUiXtG8u1oJrOoJUa6TAmMS2OHYfTVGMPMcA&oe=6403C429&_nc_sid=6136e7||['El tiramisú es uno de los postres más famosos del mundo, italiano de corazón, su nombre traduce en algo como “súbeme el ánimo”. Subámonos el ánimo endulzando la cocina con María José Martínez y este delicioso postre, mañana en nuestro Facebook o Instagram live, ¡no te lo pierdas! Anímate a cocinar con ella y podrás ganar un Huawei Y7a comentando la foto de tu platillo en la publicación saldrá después del evento.\n.\n.\n#AquíContigo #AquiconMJM']|Me_gusta|31|['Photo by Colmédica on March 12, 2021.']|2021-03-13 02:01:01+00:00
3119|https://www.instagram.com/p/CMVr8G-AvJK/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/158925932_137529168282004_8215178027702036986_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=LeSG6AESKTQAX-y1aNu&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjUyODEyMDAwOTE2Nzk0NTQxNA%3D%3D.2-ccb7-5&oh=00_AfAJ3w1cW6GoxPxL3-jMFCeZHEF24sdGqpBJ9mURPeMn5A&oe=6402CB23&_nc_sid=6136e7||['Cerramos nuestro primer día de la Brigada Médica trayendo vida y recolectando sonrisas. En fotos te compartimos momentos de nuestro servicio para la población de Cumaribo, Vichada.\n.\n.\n#brigadamedica #colmedicaaquicontigo']|Me_gusta|99|['Photo by Colmédica on March 12, 2021.']|2021-03-13 00:30:12+00:00
